Acinetobacter venetianus (strain ATCC 31012 / CIP 110063 / RAG-1)
Aclytia heber
Apple chlorotic leaf spot virus (isolate apple)
Apple chlorotic leaf spot virus (isolate plum P863)
Acmaea mitra
Acmella radicans
Acorus americanus
Acosmeryx anceus
Acomys cahirinus
Acossus centerensis
Acorus calamus
Acontias cregoi
Acorus gramineus
Acomys ignitus
Acontias lineatus
Acontia lucida
Acontias meleagris
Acomys minous
Acontias orientalis
Acontias percivali
Acomys percivali
Acontias rieppeli
Acomys russatus
Acontias tristis
Acomys wilsoni
Acoelorraphe wrightii
Acronychia acidula
Acrocomia aculeata
Acremonium alcalophilum
Acropora aspera
Acrocephalus arundinaceus
Acrolepiopsis assectella
Acrosiphonia arcta
Acrostichum aureum
Acrocephalus brevipennis
Acremonium chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / JCM 23072 / IMI 49137)
Acroneuria carolinensis
Acropora cervicornis
Acremonium chrysogenum
Acrida cinerea
Acridotheres cristatellus
Acronicta dactylina
Acropora digitifera
Acropora donei
Acrantophis dumerili
Acromyrmex echinatior
Acrossocheilus fasciatus
Acropora formosa
Acrochordus granulatus
Acrosternum hilare
Acropora humilis
Acrochordus javanicus
Acropoma japonicum
Acrocinus longimanus
Acropora loripes
Acrantophis madagascariensis
Acrocephalus mendanae
Acropora millepora
Acropora nasuta
Acropora nobilis
Acrocephalus orinus
Acrocephalus orientalis
Acrocephalus paludicola
Acropora palmata
Acropora prolifera
Acrobates pygmaeus
Acrasis rosea
Acrocephalus scirpaceus
Acrosiphonia sonderi
Acremonium sp.
Acrocephalus stentoreus
Acroclita subsequana
Acrossidius tasmaniae
Acropora tenuis
Acreichthys tomentosus
Acropora valida
Acryllium vulturinum
Acrida willemsei
Actophilornis africanus
Actinidia arguta
Actinia bermudensis
Actinobacillus capsulatus
Actinidia chinensis
Actinodium cunninghamii
Actinoalloteichus cyanogriseus
Actinidia deliciosa
Actinopyga echinites
Actinia equina
Actinidia eriantha
Actinobacillus equuli
Actinia fragacea
Actinopolyspora halophila
Actinotus helianthi
Actitis hypoleucos
Actinomadura kijaniata
Actinoplanes liguriensis
Actinobacillus lignieresii
Actias luna
Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NCIMB 12654 / NBRC 102363 / 431)
Actitis macularius
Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / NBRC 14064 / IMRU 3971)
Actinoplanes missouriensis
Actinomyces naeslundii
Actinomyces naeslundii (strain ATCC 12104 / DSM 43013 / JCM 8349 / NCTC 10301 / Howell 279)
Actinomadura namibiensis
Actinobacillus pleuropneumoniae serotype 5b (strain L20)
Actinobacillus pleuropneumoniae serotype 7 (strain AP76)
Actinosynnema pretiosum subsp. auranticum
Actinobacillus pleuropneumoniae serotype 3 (strain JL03)
Actinobacillus pleuropneumoniae
Actaea racemosa
Actinoplanes sp. (strain ATCC 31351 / 3876)
Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 / SE50/110)
Actinobacillus succinogenes
Actinopyga spinea
Actinomycete sp. (strain K97-0003)
Actinomycete sp. (strain L585-6 / ATCC 53650)
Actinomadura sp. (strain R39)
Actinobacillus suis
Actinomyces sp.
Actinobacillus succinogenes (strain ATCC 55618 / 130Z)
Actinia tenebrosa
Actinoplanes teichomyceticus
Actinoplanes utahensis
Actinomyces viscosus
Actineria villosa
Acuticosta chinensis
Acutisoma longipes
Acyrthosiphon kondoi
Acyrthosiphon magnoliae
Acyrthosiphon pisum
Acytolepis puspa
Acytostelium subglobosum
Human adenovirus C serotype 1 (strain Adenoid 71)
Adalia bipunctata
Adalia decempunctata
Adansonia digitata
Adansonia gregorii
Adansonia grandidieri
Adamsia palliata
Adansonia rubrostipa
Adansonia za
Addax nasomaculatus
Human adenovirus C serotype 1
Human adenovirus C serotype 2
Human adenovirus B serotype 3
Human adenovirus E serotype 4
Human adenovirus C serotype 5
Human adenovirus C serotype 6
Human adenovirus B serotype 7
Human adenovirus D serotype 8
Human adenovirus D serotype 9
Human adenovirus A serotype 12
Human adenovirus D serotype 15
Human adenovirus B serotype 16
Human adenovirus D serotype 17
Human adenovirus A serotype 18
Human adenovirus B serotype 11 (strain BC34)
Human adenovirus D serotype 15/H9
Human adenovirus B serotype 11 (strain Slobiski)
Human adenovirus A serotype 31
Human adenovirus B serotype 35
Human adenovirus F serotype 40
Human adenovirus F serotype 41
Adenostyles alpina
Adenomera andreae
Bovine adenovirus 2
Bovine adenovirus B serotype 3
Bovine adenovirus 4
Bovine adenovirus 7
Bovine adenovirus C serotype 10
Adelpha bredowii
Canine adenovirus serotype 2
Adelpha californica
Canine adenovirus serotype 1 (strain CLL)
Canine adenovirus serotype 1 (strain Glaxo)
Adelges cooleyi
Canine adenovirus serotype 1 (strain RI261)
Canine adenovirus serotype 2 (strain Toronto A 26-61)
Canine adenovirus serotype 1 (strain Utrecht)
Adenia digitata
Equine adenovirus A serotype 1
Equine adenovirus B serotype 2
Frog adenovirus 1 (strain ATCC VR-896)
Adenostoma fasciculatum
Frog adenovirus
Fowl adenovirus A serotype 1 (strain CELO / Phelps)
Avian adenovirus 8 (strain ATCC A-2A)
Adenia gummifera
Fowl adenovirus C serotype 10 (strain SA2)
Adenocaulon himalaicum
Adenomera hylaedactyla
Adenophorus hymenophylloides
Adesmia lanata
Adelphocoris lineolatus
Adelges laricis
Murine adenovirus A serotype 1
Adenomera marmorata
Adelomyia melanogenys
Ovine adenovirus D serotype 7 (isolate OAV287)
Adenium obesum
Ovine adenovirus D
Adenanthos obovatus
Porcine adenovirus A serotype 3
Porcine adenovirus B serotype 4
Adenanthera pavonina
Adenophorus periens
Adenophorus pinnatifidus
Adelieledone polymorpha
Snake adenovirus serotype 1
Simian adenovirus serotype 7
Adenanthos sericeus
Tree shrew adenovirus serotype 1
Adenophorus tripinnatifidus
Adelges tsugae
Adenandra uniflora
Adenia volkensii
Adhemarius gannascus
Adisura bella
Adiantum capillus-veneris
Adipicola crypta
Adineta gracilis
Adipicola iwaotakii
Adiantum malesianum
Adiantum pedatum
Adiantum raddianum
Adineta ricciae
Adineta vaga
Adolphia californica
Adoxophyes honmai
Adoxa moschatellina
Adoxophyes orana
Adonis vernalis
Aleutian mink disease parvovirus (strain G)
Advenella kashmirensis (strain DSM 17095 / LMG 22695 / WT001)
Aechmophorus clarkii
Aechmophorus occidentalis
Aedes aegypti
Aedes albopictus
Aedes cinereus
Aedes albopictus densovirus
Aedes densonucleosis virus (strain GKV 002 002)
Aedes furcifer
Aedes krombeini
Aedes luteocephalus
Aedes malayensis
Aedes novalbopictus
Aedes polynesiensis
Aedes pseudoscutellaris
Aedes taylori
Aedes togoi
Aedes vexans
Aedes vittatus
Aedes w-albus
Aegolius acadicus
Aegla alacalufi
Aegialia arenaria
Aegilops bicornis
Aegithalos bonvaloti
Aegithalos caudatus
Aegotheles cristatus
Aegilops comosa
Aegithalos concinnus
Aegilops columnaris
Aegilops crassa
Aegilops cylindrica
Aegista diversifamilia
Aegithalos fuliginosus
Aegolius funereus
Aegithalos glaucogularis
Aegolius harrisii
Aegilops longissima
Aegle marmelos
Aegypius monachus
Aegopodium podagraria
Aegyptianella pullorum
Aegotheles savesi
Aegilops searsii
Aegilops speltoides
Aegilops tauschii
Aegithina tiphia
Aegilops triuncialis
Aegilops tauschii subsp. strangulata
Aegilops umbellulata
Aegilops uniaristata
Aegilops ventricosa
Aelurostrongylus abstrusus
Aeluroscalabotes felinus
Aenictus aratus
Aenigmarchaeum subterraneum
Aeolothrips albicinctus
Aeolidia papillosa
Aeoloplides turnbulli
Aepypodius arfakianus
Aepyceros melampus
Aepyprymnus rufescens
Aequipecten opercularis
Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3)
Aequidens tetramerus
Aequorea victoria
Aeromonas caviae
Aeromonas enteropelogenes
Aeromicrobium erythreum (strain ATCC 51598 / DSM 8599 / JCM 8359 / NBRC 15406 / NRRL B-3381)
Aeria eurimedia
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas media
Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Aeropyrum pernix
Aeranthes ramosa
Aeromonas salmonicida (strain A449)
Aeromonas salmonicida
Aeromonas sobria
Aeronautes saxatalis
Aerococcus urinae (strain ACS-120-V-Col10a)
Aeromonas veronii (strain B565)
Aerodramus vulcanorum
Aeshna cyanea
Aesculus hippocastanum
Aesculus pavia
Aethalops alecto
Aethionema cordifolium
Aethia cristatella
Aethusa cynapium
Aetobatus flagellum
Aethionema grandiflorum
Aetobatus narinari
Aethionema oppositifolium
Aethia psittacula
Aethia pusilla
Aethia pygmaea
Aethaloperca rogaa
Aethionema saxatile
Aethina tumida
Avian encephalomyelitis virus (strain Calnek vaccine)
Avian encephalomyelitis virus (strain L2Z)
Avian encephalomyelitis virus (strain Van Reokel)
Afipia felis
Afifella marina
Afropavo congensis
Afrocarpus gracilior
Afrogethes planiusculus
Acidianus filamentous virus 1
Acidianus filamentous virus 1 (isolate United States/Yellowstone)
Acidianus filamentous virus 2
Acidianus filamentous virus 2 (isolate Italy/Pozzuoli)
